"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RelevantIDFraudScore","Q_RelevantIDLastStartDate","Q3","Q4","Q5","Q6","Q8_1","Q8_2","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q11","Q10_1","Q10_2","Q10_3","Q10_4","Q10_5","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q19_9","Q19_10","Q19_11","Q19_12","Q23_1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q26_1","Q26_2","Q26_3","Q26_4","Q26_5","Q26_6","Q26_7","Q26_8","Q26_9","Q15","Q13_1","Q13_2","Q13_3","Q13_4","Q13_5","Q13_6","Q13_7","opp","gc","term","Q_BallotBoxStuffing","Q_TotalDuration","expected_loi","expected_ir","expected_n","geo_IP","Q_CHL","rid","RISN","LS","transaction_id","SVID","PS","psid","K2","med","X_k","entrySigCheck","DisplayOrder","V","tg","orderNumber"
"1","09-01-25 3:16","09-01-25 3:19","IP address","100","191","True","09-01-25 3:19","R_2j7ipjUTsGJVjuy","anonymous","EN","0,600000024",NA,"0","0",NA,"25-34","Male","Helsinki and Uusimaa","Upper secondary school or polytechnic degree",8,"7","9","9","9","9","9","9","9","Very interested","Totally agree","Totally agree","Somewhat agree","Somewhat agree","Somewhat agree","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","9","9","9","8","8","8","8","8","8","8","8","8","8","8","9","9","9","9","8","8","8","8","9","9","9","9","8","9","8","8","Left Alliance (VAS)","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Qual73530196-3004-Finland","1",NA,NA,"191","10","0.6","1500","EN","anonymous",NA,NA,NA,"4yWiwuLtIIXBAlbt5EFpkr","37679796","341","71291e58-11a2-e616-657d-b04c61c9b9a3",NA,NA,NA,NA,NA,NA,NA,NA
"2","09-01-25 3:16","09-01-25 3:19","IP address","100","201","True","09-01-25 3:19","R_21RgODddnpvlUIX","anonymous","EN","0,800000012",NA,"0","0",NA,"35-44","Female","Helsinki and Uusimaa","Professional qualification",6,"5","I have full confidence in 10","7","1","9","6","3","4","Very interested","Totally agree","Totally disagree","Neither agree nor disagree","Totally agree","Somewhat agree","Staying the same","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Somewhat worse","Staying the same","Some improvement","4","6","9","2","4","9","5","This development is entirely due to government policy 10","4","8","2","7","2","4","7","Very close to 10","9","9","7","5","3","2","4","2","1","1","1","4","7","6","Green Alliance (VIHR)","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Totally agree","Qual73530196-3004-Finland","1",NA,NA,"201","10","0.6","1500","EN","anonymous",NA,NA,NA,"4Zm1rmvDneLWnIztdoH8Jm","37679796","341","a816c668-9afa-fa3f-1935-1e260fff8d56",NA,NA,NA,NA,NA,NA,NA,NA
"3","09-01-25 3:17","09-01-25 3:20","IP address","100","172","True","09-01-25 3:20","R_2E4W2PbxHlPW2nl","anonymous","EN","1",NA,"0","0",NA,"18-24","Male","Helsinki and Uusimaa","Professional qualification",0,"6","I don't trust at all 0","1","1","1","8","1","I have full confidence in 10","Some interest","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Much worse","Much worse","Much worse","Much worse","Remaining the same","Much worse","Much worse","Staying the same","Much worse","Much worse","Somewhat worse","Staying the same","5","6","7","7","6","5","7","6","5","6","6","6","Very close to 10","9","8","7","6","7","8","7","7","9","8","7","6","7","8","9","8","7","Social Democratic Party of Finland (SDP)","Totally agree","Somewhat agree","Totally agree","Neither agree nor disagree","Totally agree","Totally agree","I don't know","Qual73530196-3004-Finland","1",NA,NA,"172","10","0.6","1500","EN","anonymous",NA,NA,NA,"6e1mQROJ2C7q0jlW6a4axo","37679796","341","eb06a888-4123-7986-8928-1f009b06677d",NA,NA,NA,NA,NA,NA,NA,NA
"4","09-01-25 3:16","09-01-25 3:20","IP address","100","240","True","09-01-25 3:20","R_8ffb9k5By3W73eT","anonymous","EN","1",NA,"0","0",NA,"35-44","Male","Helsinki and Uusimaa","Professional qualification",2,"0","I don't trust at all 0","1","I don't trust at all 0","I don't trust at all 0","1","1","I don't trust at all 0","Some interest","Totally agree","Totally disagree","Totally agree","Totally agree","Totally agree","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","9","9","This development is entirely due to government policy 10","9","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","1","Not at all close to 0","Not at all close to 0","Not at all close to 0","9","7","Not at all close to 0","Not at all close to 0","Not at all close to 0","1","I do not like at all 0","I do not like at all 0","I do not like at all 0","9","7","I do not like at all 0","I do not like at all 0","I do not like at all 0","Green Alliance (VIHR)","Totally disagree","Totally agree","Neither agree nor disagree","Totally agree","Totally disagree","Totally disagree","Totally disagree","Qual73530196-3004-Finland","1",NA,NA,"240","10","0.6","1500","EN","anonymous",NA,NA,NA,"1NgKQEtW5RhguJofd3jOvL","37679796","341","b89c46fb-4e87-0f37-320e-77cf432582f5",NA,NA,NA,NA,NA,NA,NA,NA
"5","09-01-25 3:15","09-01-25 3:20","IP address","100","318","True","09-01-25 3:20","R_2yrIeaojWCBPgXf","anonymous","EN","1",NA,"0","0",NA,"55+","Female","Western Finland","Primary school (grades 1-9)",6,"8","4","4","3","3","5","5","5","Not at all interested","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat worse","Much worse","Somewhat worse","Staying the same","Somewhat worse","Somewhat worse","Much worse","Somewhat worse","Somewhat worse","Somewhat worse","Staying the same","Somewhat worse","4","4","4","3","5","6","5","4","4","6","4","4","Very close to 10","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I like very much 10","I don't know","I do not like at all 0","I do not like at all 0","I don't know","I do not like at all 0","I don't know","I don't know","I don't know","I did not vote","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Qual73530196-3004-Finland","1",NA,NA,"318","10","0.6","1500","EN","anonymous",NA,NA,NA,"18wVnq2g1RBnUk0ktwCfaH","37679796","341","2e868851-9606-31f1-dfec-9d7c00e39afb",NA,NA,NA,NA,NA,NA,NA,NA
"6","09-01-25 3:16","09-01-25 3:20","IP address","100","229","True","09-01-25 3:20","R_2IXXJO0WJJVPOp7","anonymous","EN","1",NA,"0","10",NA,"35-44","Male","Southern Finland","Professional qualification",6,"7","6","I have full confidence in 10","I have full confidence in 10","9","I have full confidence in 10","7","8","Very interested","Somewhat disagree","Totally agree","Totally agree","Somewhat disagree","Somewhat agree","Some improvement","Staying the same","Somewhat worse","Much worse","Some improvement","Somewhat worse","I don't know","Much worse","I don't know","Much better","Staying the same","Staying the same","8","9","4","This development is entirely due to government policy 10","9","1","5","4","9","6","8","5","Very close to 10","8","4","6","5","9","8","Very close to 10","7","6","8","8","5","I like very much 10","8","7","9","9","Centre Party of Finland (KESK)","Neither agree nor disagree","Totally disagree","I don't know","Neither agree nor disagree","I don't know","Somewhat disagree","Somewhat agree","Qual73530196-3004-Finland","1",NA,NA,"229","10","0.6","1500","EN","anonymous",NA,NA,NA,"59uWrWT7kXtQBtqoD0cPsP","37679796","341","cdd4592c-3327-9530-6aae-102b0762d495",NA,NA,NA,NA,NA,NA,NA,NA
"7","09-01-25 3:18","09-01-25 3:21","IP address","100","191","True","09-01-25 3:21","R_2wyoDgKewhkGNqX","anonymous","EN","0,899999976",NA,"0","0",NA,"25-34","Female","Helsinki and Uusimaa","University degree",7,"7","8","3","7","7","7","6","2","Only a little interested","Totally agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat worse","Staying the same","Remaining the same","Staying the same","Remaining the same","Staying the same","Staying the same","Staying the same","Staying the same","Staying the same","Staying the same","Some improvement","2","5","7","7","6","7","8","7","9","2","3","6","7","9","9","8","8","9","9","8","9","6","8","9","8","7","7","7","7","9","True Finns (PS)","Somewhat agree","Totally agree","Somewhat agree","Somewhat agree","Totally agree","Totally agree","Somewhat agree","Qual73530196-3004-Finland","1",NA,NA,"191","10","0.6","1500","EN","anonymous",NA,NA,NA,"7xZLPRTOLmnSCkpHOeGV73","37679796","341","8d5755da-388c-ae5c-0def-e955972ba9d6",NA,NA,NA,NA,NA,NA,NA,NA
"8","09-01-25 3:16","09-01-25 3:22","IP address","100","337","True","09-01-25 3:22","R_2ibaStpaAUcCGFu","anonymous","EN","1",NA,"0","0",NA,"35-44","Male","Southern Finland","University degree",8,"5","9","6","7","5","7","I have full confidence in 10","I have full confidence in 10","Some interest","Totally agree","Somewhat disagree","Totally agree","Somewhat agree","Totally agree","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Staying the same","Some improvement","Some improvement","5","4","4","4","4","4","6","4","4","6","6","6","5","Not at all close to 0","7","5","2","1","3","Not at all close to 0","2","7","I do not like at all 0","8","6","3","2","5","I do not like at all 0","3","National Coalition Party (NCP)","Totally disagree","Totally disagree","Totally disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Qual73530196-3004-Finland","1",NA,NA,"337","10","0.6","1500","EN","anonymous",NA,NA,NA,"7qTfRHoiYWD4HdeRL2Zedg","37679796","341","9d867da8-3d74-eee3-0016-09e244353c03",NA,NA,NA,NA,NA,NA,NA,NA
"9","09-01-25 3:17","09-01-25 3:22","IP address","100","278","True","09-01-25 3:22","R_2CBo85kULqbh7rf","anonymous","EN","1",NA,"0","0",NA,"35-44","Male","Northern and Eastern Finland","Professional qualification",9,"8","7","7","7","7","8","9","9","Very interested","Totally agree","Totally disagree","Totally agree","Totally agree","Totally agree","Staying the same","Staying the same","Staying the same","Staying the same","Some improvement","Some improvement","Somewhat worse","Staying the same","Somewhat worse","Staying the same","Much better","Some improvement","9","9","9","This development is entirely due to government policy 10","5","7","This development is entirely due to government policy 10","9","This development is entirely due to government policy 10","3","5","7","7","2","1","1","5","Very close to 10","5","5","6","7","2","1","1","5","I like very much 10","5","5","7","Left Alliance (VAS)","Totally disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Totally disagree","Qual73530196-3004-Finland","1",NA,NA,"278","10","0.6","1500","EN","anonymous",NA,NA,NA,"2rR9ukCxVHb9ads1q79Lcs","37679796","341","5f54e21c-12a3-d194-69f6-193d8ee12605",NA,NA,NA,NA,NA,NA,NA,NA
"10","09-01-25 3:15","09-01-25 3:22","IP address","100","396","True","09-01-25 3:22","R_2f9y4Jod1aVtdBz","anonymous","EN","0,800000012",NA,"0","10",NA,"45-54","Male","Southern Finland","Professional qualification",10,"10","I have full confidence in 10","I have full confidence in 10","I have full confidence in 10","I have full confidence in 10","I have full confidence in 10","I have full confidence in 10","I have full confidence in 10","Not at all interested","Somewhat disagree","Totally agree","Totally agree","Somewhat agree","Totally agree","Some improvement","Somewhat worse","Somewhat worse","Much worse","Much better","Much better","Somewhat worse","Much worse","Much worse","Much better","Much better","Much better","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","Very close to 10","Very close to 10","Very close to 10","Very close to 10","Very close to 10","Very close to 10","Very close to 10","Very close to 10","Very close to 10","I like very much 10","I like very much 10","I like very much 10","I like very much 10","I like very much 10","I like very much 10","I like very much 10","I like very much 10","I like very much 10","True Finns (PS)","Totally disagree","Totally disagree","Totally disagree","Totally disagree","Totally disagree","Totally disagree","Totally disagree","Qual73530196-3004-Finland","1",NA,NA,"396","10","0.6","1500","EN","anonymous",NA,NA,NA,"3l8lqBXh9957ITkmRTAmuO","37679796","341","0aaa0487-4935-aff7-50b4-96440b6b55be",NA,NA,NA,NA,NA,NA,NA,NA
